Name,Id,Scrap,Description,Cooldown,ChargeTime,ProjectileSpeed,Duration
Summon Stygian Worm,ItemSummonDemonHydraHead,40,Temporarily summon aStygian Wormnearby.,120,0,0,0
Summon Thrall,ItemSummonZombieBlood,20,Summon aThrallin target room.,25,10,300,0
Summon Wraithblade,ItemSummonDemonSword,20,Temporarily summon aWraithbladenearby.,30,0,0,0
Technovirus,ItemSystemCannotRepair,80,Emit a projectile that prevents target system from being repaired for 20 seconds.,50,1,600,20
Thermal Bastion,ItemSystemFireImmune,60,Target system becomes immune to fire for 20 seconds,20,1,600,20
Thrallwalk,ItemTeleportToWretch,10,Teleport to aThralland destroy it.,5,1,0,0
Transfusion,ItemWretchHealCannon,30,Cast a projectile that heals all allied crew in target room for 10 HP. Automatically sacrifices nearest alliedThrallto increase heal to 35 HP.,3,1,300,0
Treasonous Whispers,ItemMindControl,40,Cast a projectile that mind controls a hostile crew in target room.,25,2,450,11
Undead Tide,ItemSummonZombie3x_proj,80,Summon 3Ghouls,50,0,300,0
Weird Entanglement,ItemRootTarget,10,Cast a projectile that immobilizes hostile crew in targeted area for 10 seconds.,10,1,450,15
